community,count,location
桂林村,1,"121.411409,31.161616"
毛家路409弄,10,"121.385616,31.428605"
宝安公路,4,"121.411143,31.363848"
五原路289弄,1,"121.442083,31.211448"
阳曲路1111弄,1,"121.459504,31.324548"
永业路94弄,1,"121.615796,31.265132"
金塘路,1,"121.373540,31.460209"
环镇南路1506弄,1,"121.389679,31.174092"
牡丹江路1298弄,12,"121.484191,31.396319"
菊泉街577弄,1,"121.374161,31.357256"
海星村,7,"121.299143,31.426702"
庄行政村,1,
中山南路200弄,3,"121.500479,31.222647"
镇泰路,1,"121.437010,31.380315"
政和路999弄,2,"121.515477,31.338990"
凤城三村,2,"121.518529,31.280556"
德富路900弄,2,"121.261937,31.343783"
共同村,1,
友谊路1819弄,1,"121.449172,31.391692"
水产路,10,"121.448409,31.368477"
李大人村,1,"121.321715,31.432813"
宝荻路535弄,2,"121.394550,31.360660"
永靖路899弄,1,"121.256169,31.406092"
礼泉路,1,"121.414879,31.255955"
静安区中山北路570弄,1,"121.465415,31.261231"
陶集村,2,
一二八纪念路688弄,2,"121.453230,31.325793"
堂行政村,1,
镇桃源村,2,"121.600861,31.533256"
永清路999弄,2,"121.491086,31.398802"
罗店镇美康路818弄,1,"121.332649,31.395909"
毛家宅409弄,1,"121.256371,31.442125"
宝钱公路5000弄,1,"121.149497,31.378748"
罗泾镇潘新路118弄,7,"121.331907,31.487065"
龙镇路7弄,2,"121.430194,31.417959"
沪太路,7,"121.326650,31.455905"
上海市杨浦区龙江路300弄,9,"121.530468,31.256803"
春雷路20弄,1,"121.433750,31.404802"
南场村,1,
南京东路541弄,1,"121.480115,31.235903"
柳营路319弄,2,"121.462048,31.268563"
共富一村,5,"121.430912,31.350873"
镇南塘村,3,"121.142293,30.800678"
市河街2弄,1,"121.650290,30.943470"
上海沪太路8885号190弄,3,"121.460283,31.261494"
佳木斯路,1,"121.534026,31.293222"
依玛路389弄,1,"121.248256,31.353901"
蕰川路1438弄,3,"121.430957,31.361127"
大宁路540弄,1,"121.451423,31.271998"
共和新路2999弄,1,"121.455150,31.289366"
郭家村,1,"121.187648,31.336487"
宝山区菊盛路1158弄,1,"121.366796,31.366786"
航华一村,5,"121.653161,31.210149"
镇长浜村,1,"121.227132,31.245947"
集贤路1515弄,1,"121.349973,31.431004"
河西村,1,
登科地村,1,"121.758996,31.116853"
物华路118弄,1,"121.493962,31.259975"
月铺八村,2,"121.397808,31.415865"
李行政村,3,
泰和西路3463弄,3,"121.404353,31.350539"
红林路58弄,1,"121.429899,31.367881"
交城路399弄,1,"121.424718,31.294483"
乡王祠村,1,
惠南镇听悦路960弄,1,"121.739743,31.060034"
下朱村,1,
东新村,3,
乐业五村218弄,1,"121.423737,31.410945"
共和新路970弄,1,"121.462053,31.259405"
德都九村,1,"121.496404,31.400611"
圆和路,1,"121.404667,31.411906"
杨浦区政肃路45弄,1,"121.508088,31.294330"
梅林路666弄,4,"121.436468,31.367484"
杨南路399弄,2,"121.404484,31.402765"
杨泰路268弄,2,"121.439574,31.379204"
浦盛星村,1,"121.385299,31.449001"
罗宁路3030弄,18,"121.329383,31.485121"
抚远路993弄,3,"121.364827,31.403892"
上海市浦东新区环龙路259弄,1,"121.527222,31.204301"
宝山区大场镇祁华路300弄,1,"121.370910,31.322671"
大场镇祁华路300弄,1,"121.370910,31.322671"
长阳路1969弄,1,"121.539574,31.272573"
浦东新村,1,
祁南二村,17,"121.349679,31.413843"
杨北路,5,"121.405922,31.384062"
月浦阳光美林218弄,1,"121.410404,31.426289"
蒋巷街,1,"121.348123,31.412534"
城桥镇东引路877弄,1,"121.411953,31.645522"
教育路555弄,3,"121.395094,31.357086"
美丹路18弄,10,"121.353047,31.406605"
岛新港村,1,"121.714608,31.381340"
长江南路245弄,2,"121.486442,31.334958"
庙行镇花园宅路190弄,1,"121.425305,31.329244"
海滨三村,3,"121.492958,31.383225"
罗店镇毛家路201弄,1,"121.387014,31.422521"
林展路411弄,2,"121.509466,31.122621"
安达路,1,"121.495728,31.363623"
东南弄,1,"121.350372,31.412339"
丰登路,1,"121.292851,31.359846"
镇晨光村,1,"121.793311,31.519512"
华南新村,2,
莲花山路517弄,4,"121.445496,31.362755"
积福新村,1,
风伟一村,1,"121.490451,31.678977"
锦秋路1588弄,8,"121.375192,31.316667"
美康路818弄,2,"121.332649,31.395909"
镇兴教村,1,"121.523295,31.573324"
丹霞路257弄,1,
蕴川?1438弄,1,
罗店镇罗东路306弄,5,"121.375866,31.426591"
亭联一村,1,"121.302021,31.486993"
友谊家园2000弄,1,
月浦渔塘路268弄,1,"121.354224,31.487774"
宝山区竹韵路259弄,1,"121.441361,31.367078"
月浦新月翡翠园35弄,1,"121.429911,31.403231"
月川路535弄,1,"121.401045,31.440575"
月泉路58弄,6,"121.415161,31.421864"
上海美丹路998弄,1,"121.340146,31.395423"
集贤路2020弄,4,"121.349973,31.431004"
唐山路778弄,1,"121.508196,31.258367"
同泰北路403弄,1,"121.493669,31.380885"
镇油桥村,1,"121.566716,31.552907"
陈川路,5,"121.323713,31.473530"
沪太路8885号飞黄路190弄,1,"121.325652,31.466116"
上海市静安区场中路3123弄,1,"121.431863,31.304882"
杨行镇竹韵路259弄,1,"121.441361,31.367078"
罗南二村95弄,1,"121.365411,31.386055"
集贤路,7,"121.356682,31.414235"
水产西路729弄,1,"121.417467,31.358093"
荷泽路58弄,1,"121.589760,31.272669"
金通路1737弄,1,"121.323026,31.284935"
石桥河村,1,
凤南一村,2,"121.525747,31.275140"
洋桥村,2,"121.404779,31.362356"
汇头村,1,"121.265451,31.076853"
洛川中路600弄,4,"121.456554,31.267019"
红星村,1,"121.317604,31.426767"
上大路65弄,1,"121.403759,31.313004"
菊太路,6,"121.378194,31.355090"
罗东路306弄,1,"121.375866,31.426591"
杨泰新村,2,
宝林路462弄,1,"121.482939,31.399893"
乡西岩村,1,
开鲁三村,7,"121.527823,31.323479"
松兰路233弄,2,"121.448771,31.370725"
东界泾村,2,"121.083946,31.095218"
黄家花园998弄,1,
鹤林路298弄,7,"121.399704,31.453438"
东林路538弄,1,"121.489730,31.412696"
月塘路268号29弄,1,"121.412254,31.423347"
菊太路1198弄,3,"121.357556,31.347203"
宝山镇德都路55弄,1,"121.426904,31.404474"
集贤路501弄,3,"121.353978,31.421916"
石泉街道府村路115弄,1,"121.417812,31.255273"
天家路199弄,5,"121.338590,31.382569"
盛桥古莲路358弄,2,"121.402623,31.447946"
朱桥村,1,"121.460721,31.219736"
电台路398弄,3,"121.392680,31.353487"
中兴村,1,"121.763550,31.519707"
建安路,1,"121.092010,30.857521"
德都路265弄,1,"121.424590,31.411252"
月浦沈巷村宝月花园14弄,3,"121.410857,31.420411"
镇何桥村,6,"121.275918,31.425485"
普陀区真如镇桃浦路1108弄,1,"121.380487,31.261825"
逸仙路1238弄,1,"121.479802,31.314927"
杨行镇北中新村99弄,1,"121.187922,31.027008"
宝山区庆安路友间公寓51弄,2,"121.433757,31.413493"
华中苑崧漪一路46弄,2,"121.154960,31.139604"
富锦路2203弄,4,"121.419662,31.399079"
德园南路111弄,4,"121.317640,31.280621"
盛星村,5,"121.379208,31.444927"
乐业五村,5,"121.423737,31.410945"
罗店镇南东路89弄,5,"121.361824,31.385922"
共康五村,4,"121.437543,31.322879"
天家路116弄,2,"121.339810,31.384714"
南汇卫星东路50弄,1,"121.761649,31.043306"
月浦春雷路3321弄,1,"121.433604,31.412618"
新丰村,2,"121.402393,31.440407"
跃路133弄,2,
芳华路933弄,1,"121.570376,31.197585"
董埠村,1,
大仲村,1,
市一路,2,"121.363374,31.420592"
美艾路177弄,4,"121.364134,31.394206"
潘新路118弄,5,"121.332333,31.488900"
花园宅路190弄,2,"121.423763,31.328965"
友谊家园2001弄,2,
联谊路501弄,3,"121.425992,31.344605"
罗店镇罗溪路371弄,1,"121.347176,31.416832"
市一路178弄,2,"121.348137,31.416457"
年吉路220弄,2,"121.343295,31.401679"
嘉好路,1,"121.286966,31.309851"
长源村,2,
中山北路570弄,2,"121.465415,31.261231"
龙王庙村,1,
罗店镇东太路95弄,2,"121.366406,31.387444"
宝山区班溪路55弄,1,"121.497478,31.371505"
宝华盛世,6,"121.402299,31.443832"
镇樊家村,2,"121.299112,31.333014"
宝山区富阳路223弄,2,"121.489431,31.405242"
集贤路700弄,3,"121.351442,31.426849"
民府路1199弄,1,"121.500298,31.315528"
上大路1288弄,4,"121.384399,31.308595"
沈鹰路,1,"121.357581,31.370206"
乡建新村,1,
城西一村,1,"121.442888,31.398429"
南弄,2,"121.344543,31.409055"
月浦镇盛桥塔园源路58弄,1,"121.404521,31.454637"
菊盛路1158弄,1,"121.366796,31.366786"
场北路551弄,2,"121.427317,31.333887"
赵巷业煌路128弄,6,"121.234850,31.134350"
月浦镇四元路36弄,1,"121.434050,31.413121"
富南路199弄,1,"121.366049,31.389737"
广灵一路74弄,1,"121.477954,31.280692"
盛桥新丰三墩30弄,1,"121.398879,31.454291"
路永红村,1,"121.709126,31.235243"
永顺路81弄,1,"121.348901,31.412128"
上海市崇明区长兴镇金淼路899弄,1,"121.696589,31.383610"
处西崔村,1,
镇星火村,1,"121.452830,31.364366"
向东路,1,"121.381264,31.389289"
长江路,1,"121.494417,31.353040"
市甫竹村,1,
绥化路1815弄,3,"121.427654,31.406008"
星星村,1,"121.379871,31.040664"
城桥镇秋涛路151弄,2,"121.430281,31.630997"
马桥镇富卓路125弄,1,"121.383671,31.020639"
灯塔村,1,"121.644588,31.311456"
上海市黄浦区马当路301弄,1,"121.475489,31.215597"
国和一村,7,"121.529169,31.316505"
广粤路617弄,1,"121.466903,31.295066"
依安路39弄,1,"121.427554,31.367394"
镇李家村,1,"121.331945,31.347321"
班溪路55弄,9,"121.497478,31.371505"
柳湖路777弄,2,"121.243439,31.405043"
杨浦区开鲁路286弄,1,"121.536174,31.326314"
宝山区淞滨路165弄,2,"121.495500,31.373486"
海迪路199弄,2,"121.560450,31.227231"
安家路,3,"121.426641,31.410029"
新徐村,1,
真如镇桃浦路300弄,1,"121.394890,31.263557"
牡丹江路1158弄,1,"121.489804,31.390596"
前卫支路,1,"121.721491,31.384531"
东兴路,1,"121.322064,30.821058"
杨园镇三村85弄,1,"121.533100,31.287630"
虹口区沽源路116弄,2,"121.476952,31.303001"
街道彭江路,1,"121.457105,31.284918"
钱陆路,13,"121.386398,31.453453"
镇湄浦村,6,"121.419023,31.386289"
绿苑1村,2,"121.541694,31.284402"
罗泾镇潘泾路69弄,1,"121.368923,31.414869"
沪太路6525弄,1,"121.359067,31.387978"
陆家浜路阳光公寓305弄,1,"121.500555,31.211507"
乡双桥村,1,"121.810693,31.014320"
上海市嘉定区华亭镇华旺路888弄,1,"121.284077,31.473637"
红林路576弄,3,"121.418430,31.364282"
场中路3300弄,6,"121.463910,31.261452"
盛桥新月明星苑58弄,2,
白钥村,2,"121.449435,31.658206"
宝钱公路,1,"121.301380,31.450838"
梅林路,1,"121.436738,31.368446"
杨行街道蕴州路2488弄,1,
静安区原平路777弄,1,"121.429751,31.293472"
月浦沈巷新村300弄,1,"121.411079,31.418140"
高行镇繁锦路688弄,2,"121.585452,31.314745"
湄浦村,1,"121.426177,31.384935"
戎德苑66弄,2,
沈巷新村300弄,1,"121.411079,31.418140"
杨泰路328弄,1,"121.441156,31.371337"
苏家浜路435弄,2,"121.391879,31.359847"
永丰村,4,"121.564787,31.628558"
玉田路407弄,3,"121.487835,31.279369"
盛桥老街顾泾河路38弄,1,"121.402145,31.453353"
石太路351弄,1,"121.394258,31.451107"
呼玛路,5,"121.440117,31.338523"
杨泰北路,1,"121.429814,31.386127"
向阳村,5,"121.110179,31.207098"
罗南二村富南路25弄,1,"121.366400,31.385579"
南东路,1,"121.360907,31.388231"
杨桥村,1,
听悦路960弄,1,"121.739743,31.060034"
罗宁路2299弄,1,"121.327231,31.485993"
王家路200弄,1,"121.548562,30.949548"
静安区场中路3123弄,3,"121.431863,31.304882"
周浦镇瑞浦路8弄,1,"121.585520,31.099095"
街群建村,4,
涵青路100弄,1,"121.402541,31.332844"
成都北路262弄,5,"121.467940,31.228533"
德都路259弄,1,"121.424240,31.412796"
东靖路626弄,1,"121.585629,31.290918"
镇三星村,1,"121.446173,31.651648"
小集村,1,
平型关路1288弄,1,"121.457570,31.286489"
竹韵路259弄,1,"121.441361,31.367078"
武威路1236弄,1,"121.346460,31.283169"
镇泰路211弄,8,"121.442451,31.382553"
北宗村路99弄,1,"121.400569,31.386907"
漠河路,3,"121.467568,31.407305"
光华路,6,"121.144303,31.017061"
罗东路1001弄,8,"121.370973,31.445437"
共富新村,1,"121.431047,31.350354"
罗店镇集贤路151弄,2,"121.356022,31.417830"
镇双观村,1,"121.298322,30.803189"
长兴江南大道,1,"121.738433,31.369662"
凉城二村,1,"121.474660,31.291051"
新林路1288弄,1,
共和新路5308弄,2,"121.441329,31.328001"
潘桥村,2,"121.294301,31.402064"
上海市浦东新区五星路727弄,1,"121.576842,31.177310"
民星二村,5,"121.535540,31.312745"
车站西路303弄,1,"121.482930,31.300161"
阳曲路760弄,1,"121.460890,31.318617"
罗南蔡宅弄,1,
长宁路209弄,1,"121.428887,31.225421"
春雷路139弄,1,"121.433759,31.404854"
上海市杨浦区内江路222弄,1,"121.548542,31.279432"
益文路101弄,1,"121.410811,31.136997"
杭州路492弄,2,"121.540683,31.262893"
明珠路785弄,1,"121.261706,31.178637"
罗溪路1079弄,1,"121.342203,31.427641"
镇响哃村,1,"121.621509,31.616704"
海鸥新村,1,
镇中桥村,1,"121.460622,31.220124"
凤卫路56弄,1,"121.690420,31.386797"
临汾路1244弄,1,"121.442814,31.311339"
巷杨家村,1,"121.395497,31.445762"
乡东兴村,1,"121.873021,31.322044"
宝祥村,1,
沙浦路311弄,4,"121.387168,31.355448"
霄云路99弄,1,"121.187922,31.027008"
江文路330弄,1,"121.543423,31.064800"
丁钱新村,1,
顾北东路88弄,1,"121.415263,31.360737"
教育路,9,"121.395332,31.357133"
西凌家宅路27弄,1,"121.487357,31.204607"
煤水路,2,"121.398835,31.473808"
镇新港村,1,"121.443148,31.737052"
浦东新区周浦镇周星路500弄,1,"121.578760,31.103587"
镇爱民村,1,"121.312848,31.704033"
镇时桥村,1,"121.570696,31.594899"
白玉路,14,"121.414038,31.232650"
海滨四村,7,"121.493877,31.384730"
友云路,1,"121.450226,31.389917"
施钱路,1,"121.253877,31.429472"
宝山区箫云路88弄,1,"121.489431,31.405242"
欣苑2村,1,
赵口村,2,
抚顺路363弄,1,"121.511401,31.278159"
场北路39弄,1,"121.436163,31.336566"
东大名路,1,"121.504964,31.250703"
北宗新村99弄,2,"121.187922,31.027008"
春雷路乐业一村331弄,1,"121.436549,31.409588"
西耿村,1,
叶联路,1,"121.270784,31.160661"
罗溪路1000弄,1,"121.343410,31.424894"
克东路,7,"121.460271,31.407011"
韩老家村,1,
盈港东路3188弄,1,"121.242215,31.170121"
聚源桥甲弄,1,
枫叶路,1,"121.357450,31.452532"
美兰湖路333弄,1,"121.359079,31.397959"
镇新苗村,1,"121.316116,31.483445"
宝山束里桥罗东路五十弄,1,"121.377724,31.417574"
杨行北宗村99弄,2,"121.403262,31.387984"
马陆镇科茂路680弄,1,"121.326837,31.332279"
江浦路1188弄,1,"121.521221,31.269527"
静安区平型关路68弄,1,"121.465732,31.265637"
洛川东路,7,"121.458990,31.268129"
双城路,5,"121.485985,31.386545"
光新路299弄,6,"121.431427,31.254485"
劳动村,1,"121.633127,31.179665"
新园路508号509弄,1,"121.125593,31.175448"
上海市罗店集贤路500弄,1,"121.350120,31.420740"
顾村镇共富路99弄,1,"121.433027,31.351196"
月铺5村,1,"121.397808,31.415865"
开鲁路286弄,6,"121.536174,31.326314"
月浦徳都路269弄,1,
宝山区菊泉街1280弄,1,"121.372367,31.361150"
上海市杨浦区国伟路58弄,1,"121.537858,31.333266"
金石路2599弄,1,"121.330441,31.450416"
淞滨路,1,"121.494402,31.372558"
菊太路1399弄,6,"121.352432,31.346187"
漠河路1100弄,1,"121.467676,31.407102"
街道漕宝路,1,"121.378441,31.156828"
宝山区罗店镇罗东路601弄,2,"121.370492,31.435718"
乡祁庙村,1,
杨北路185弄,3,"121.411271,31.393264"
阳城路283弄,1,"121.428296,31.282453"
南翔镇陈翔路65弄,1,"121.346141,31.317372"
陈川西路,1,"121.319659,31.470658"
共康路88弄,1,"121.443704,31.320536"
美丹路,4,"121.337576,31.392110"
顾北路689弄,4,"121.386379,31.351976"
菊泉街2899弄,1,"121.370397,31.366651"
沪樊路,1,"121.321254,31.474207"
曹杨二村,1,"121.404924,31.244651"
宝山区汉清路398弄,1,"121.489431,31.405242"
静安区岭南路338弄,1,"121.455411,31.311767"
沪太路7488弄,2,"121.332978,31.418127"
连亮路111弄,1,"121.388725,31.290930"
盛桥新苑桃园258弄,1,
年吉路100弄,6,"121.344514,31.401946"
乡贵山村,1,
嘉定区南翔镇陈翔路1588弄,1,"121.315916,31.311459"
江桥镇金耀南路80弄,1,"121.309997,31.233151"
虹口区凉城路210弄,1,"121.470226,31.282253"
宝山区罗店镇祁北东路211弄,1,"121.350036,31.422446"
北戴村,1,
月浦四元路186弄,1,"121.428309,31.413771"
张方村,1,
镇永乐村,2,"121.406031,31.772644"
宝山区潘广路1765弄,1,"121.359114,31.362949"
沽源路116弄,6,"121.476952,31.303001"
上海市杨浦区国年路65弄,1,"121.509587,31.290834"
陈家镇安通东路657弄,1,"121.851083,31.514738"
罗溪路1001弄,1,"121.343117,31.425226"
松兰路507弄,3,"121.447401,31.374612"
七里村,1,
菊泉街1280弄,2,"121.372367,31.361150"
春申路1336弄,1,"121.434002,31.114983"
国权北路220弄,2,"121.493790,31.315176"
罗店镇集贤路150弄,2,"121.355050,31.417566"
闵行区虹梅南路1776弄,1,"121.431116,31.111319"
乐业二村332弄,2,"121.433291,31.411563"
玉兰一村,1,"121.160482,31.298338"
竹楼村,1,
美平路1060弄,5,"121.336137,31.387319"
宝山区罗店镇美丹路1033弄,1,"121.338273,31.391978"
罗店镇罗兰佳苑188弄,1,"121.341729,31.395638"
上海市杨浦区平凉街道江浦路160弄,1,"121.530890,31.254638"
同济路60弄,3,"121.492424,31.369360"
顾村镇朱家弄,1,"121.387348,31.339806"
淮海中路街道合肥路127弄,8,"121.476061,31.214782"
大岚坳村,1,"121.460721,31.219736"
乌庙村,1,
菊联路589弄,1,"121.356256,31.341890"
闵行区中沟路20弄,1,"121.393602,31.066399"
南长路,1,"121.364684,31.384150"
凯德一期祥安路223弄,5,"121.809815,30.961043"
陈广路,1,"121.356089,31.320759"
大姜村,1,
友谊三村,1,"121.477940,31.283628"
国和路888弄,1,"121.520672,31.319144"
大华路901弄,2,"121.415617,31.277743"
菊盛路468弄,5,"121.370749,31.356542"
锦宏路,2,"121.405975,31.408080"
新二路183弄,1,"121.475548,31.325229"
帆运路55弄,4,
上钢二村,2,"121.493501,31.175733"
蕰川路1496弄,2,"121.428757,31.362829"
密山路500弄,1,"121.483214,31.401781"
共和新路3616弄,1,"121.448368,31.302991"
沪宜公路1868弄,1,"121.289970,31.327594"
新龙路69弄,2,"121.629148,31.318580"
罗泾镇陈行街17弄,2,"121.343802,31.478780"
月浦庆安苑菜场52弄,1,"121.434905,31.406435"
古龙路66弄,6,"121.404107,31.152468"
双单路1509弄,1,"121.252026,31.326770"
梅林路97弄,1,"121.438366,31.362769"
罗泾镇陈镇路205弄,1,"121.341998,31.481599"
钦州南路917弄,2,"121.412937,31.155429"
罗泾镇陈东路79弄,1,"121.344496,31.480218"
店张士村,2,"121.331107,31.388978"
竹巷街,1,"121.347800,31.413127"
打虎山路15弄,2,"121.508800,31.270767"
华江路,1,"121.327424,31.224481"
宝杨路223弄,1,"121.499389,31.402055"
镇段经村,1,"121.402220,31.425065"
张江镇祖冲之路2288弄,1,"121.626041,31.210424"
阳曲路470弄,1,"121.461135,31.314226"
宝山区亭前街20弄,1,"121.346037,31.413139"
浦东南路2178弄,5,"121.514394,31.206464"
渭西村,1,
曹杨七村,7,"121.409343,31.243316"
富长路1080弄,1,"121.418712,31.354424"
长兴丰福路599弄,1,"121.707134,31.382907"
月罗路2425弄,1,"121.366568,31.414869"
民生村,2,"121.519660,31.639498"
顾北东路155弄,4,"121.412346,31.358630"
永福村,1,"121.460622,31.220124"
中春路,1,"121.346192,31.141030"
昌里路,1,"121.495024,31.174322"
桂林东街51弄,1,"121.424413,31.154462"
北青公路,1,"121.175671,31.187172"
富锦路2488弄,7,"121.422812,31.391089"
南宁村,1,
旺山村,1,
乡东吴村,2,
李氏祠村,1,"121.241389,31.161221"
镇马阳村,2,"121.215765,31.252958"
抚远路538弄,4,"121.366054,31.396241"
上海美康路39弄,1,"121.333792,31.394278"
乡武功村,1,
竹韵路58弄,2,"121.446183,31.363765"
新乐路,1,"121.454390,31.217238"
潘沪路399弄,1,"121.327487,31.478442"
凉城路1201弄,1,"121.470235,31.303299"
宝山区天家路99弄,1,"121.340548,31.383253"
宝山区美平路745弄,2,"121.338273,31.387327"
龙茗路513弄,1,"121.388489,31.129279"
武东路,2,"121.491859,31.304576"
宝钢十村,1,"121.478166,31.402856"
潘径路,1,"121.389401,31.386009"
祁南新村,1,
前曹公路,1,"121.305147,31.443128"
桂家木村,1,"121.406124,31.404106"
华灵路1788弄,1,"121.408768,31.277973"
杨鑫路328弄,1,"121.439508,31.368531"
富2-村,1,
偏脸子村,1,"121.864630,31.329757"
镇花仓村,1,"121.731759,31.517043"
淞宝路4258弄,1,"121.495416,31.399826"
罗店镇东太路80弄,3,"121.366221,31.386507"
淞南九村,1,"121.496102,31.400235"
上海市虹口区凉城街道场中路685弄,1,"121.471953,31.309454"
月浦绥化路258弄,1,"121.429423,31.405842"
飞黄路190弄,2,"121.325652,31.466116"
张桥新村,1,
陈东路185弄,3,"121.343864,31.482651"
牡丹江路1321弄,1,"121.486113,31.398138"
禄南村,1,"121.513436,31.105585"
罗泾镇宝通118弄,5,
菊盛路186弄,1,"121.372665,31.351847"
张墅村,1,"121.332146,31.383937"
南长路111弄,2,"121.367749,31.384429"
友谊路186弄,1,"121.480010,31.403588"
霞溪村,1,
塘后路203弄,1,"121.504793,31.392083"
北中心村,2,"121.410631,31.391889"
镇联一村,2,"121.302043,31.479681"
海江新村,2,
秦望村,1,"121.252940,30.798960"
樊埝后村,3,
镇苏民村,1,"121.549719,31.072062"
合庆镇胜利路169弄,1,"121.688100,31.246165"
苗圃路,4,"121.378694,31.426372"
清安村,1,
广中西路999弄,2,"121.434656,31.275808"
乡吴宅村,1,
白荡河路201弄,1,"121.390732,31.365169"
凉城路210弄,4,"121.470226,31.282253"
罗店镇罗东路51弄,4,"121.378392,31.418566"
岭南路338弄,4,"121.455411,31.311767"
罗店镇金星绿苑501弄,4,"121.351250,31.421500"
月浦镇乐业五村360弄,1,"121.424100,31.412258"
月罗公路888弄,1,"121.395004,31.411442"
罗泾镇潘兴路255弄,1,
罗店镇美丹路1033弄,3,"121.338273,31.391978"
罗真路188弄,1,"121.342170,31.395465"
淞南7村,1,"121.498199,31.396214"
上岗村,1,
潘广路1765弄,1,"121.359114,31.362949"
延长西路40弄,1,"121.442286,31.264522"
集贤路150弄,3,"121.355323,31.417473"
呼兰路,1,"121.440200,31.340971"
乡公平村,1,"121.836632,31.322967"
蕴川路5575弄,1,"121.405669,31.453394"
月辉路218弄,3,"121.436768,31.391406"
彭岗村,1,
玉田新村,4,
杨北村396弄,2,"121.357539,31.482762"
育新村,1,
瑞金二路,1,"121.467344,31.211590"
博兴路465弄,2,"121.586276,31.266894"
杨浦区五角场镇民京路838弄,4,"121.522262,31.322862"
杨行镇淞南路198弄,1,"121.489578,31.340867"
亭东村,3,"121.334056,30.873140"
三泉路,1,"121.438119,31.331880"
胜竹路1828弄,1,"121.254990,31.403168"
长宁区长宁路1302弄,1,"121.412682,31.219956"
祥德路274弄,1,"121.489097,31.272931"
丹霞山路50弄,1,"121.362106,31.358616"
镇石沙村,1,"121.589927,31.438634"
绥化路268弄,2,"121.428291,31.406130"
沈巷新村,2,
月浦绥化路,1,"121.435411,31.406785"
崇明区长兴镇丰福路599弄,1,"121.709618,31.382306"
海川路58弄,1,"121.349959,31.264317"
浦西村,1,
华灵路82弄,1,"121.424068,31.271768"
双山路167弄,2,"121.423693,31.263203"
阳城路280弄,1,"121.425925,31.284558"
宝山区涵青路398弄,1,"121.397002,31.332791"
静安区江场路1228弄,1,"121.459392,31.298862"
黄家路99弄,3,"121.495968,31.216426"
宋石村,2,"121.241389,31.161221"
唐镇路138弄,1,"121.650775,31.207243"
罗店祁北东路85弄,1,"121.353852,31.423651"
月浦镇毛家路125弄,1,"121.391242,31.420101"
月浦乐业五村360弄,1,"121.423686,31.412158"
芷江中路,3,"121.472741,31.260317"
煤电路,2,"121.402433,31.465087"
国权北路380弄,4,"121.494530,31.318147"
场北路550弄,2,"121.427918,31.330749"
亭前街20弄,4,"121.346037,31.413139"
北宗村99弄,3,"121.403262,31.387984"
环城路1510弄,1,"121.238275,31.382689"
嘉定区江桥镇金园一路1118弄,1,"121.314305,31.247777"
银山路115弄,1,"121.577995,31.245030"
殷行路,1,"121.529936,31.328890"
铁城路,1,"121.451896,31.356528"
集贤路500弄,2,"121.350120,31.420740"
潘泾路2601弄,1,"121.360389,31.432793"
横浜路89弄,1,"121.480177,31.263294"
"浦兴街道(乡,镇)五莲路1769弄",1,"121.597793,31.284973"
庆安四村,1,
共康路169弄,1,"121.442231,31.323220"
马坊村,1,"121.238048,30.909363"
宝山区罗店镇邱家弄,1,"121.343832,31.416679"
淞南路1166弄,2,"121.490062,31.348687"
天家路99弄,4,"121.340548,31.383253"
汾西路400弄,4,"121.458379,31.315979"
瑞丰路456弄,1,"121.375316,31.318650"
南翔镇乐惠路云翔瑞和壹街区801弄,1,"121.268016,31.308902"
牡丹江路285弄,1,"121.356917,31.143053"
建场村,1,
宝山区友谊路16弄,2,"121.491337,31.407800"
月城路989弄,1,"121.427424,31.390917"
欧阳路28弄,1,"121.489118,31.265021"
清真路58弄,4,"121.459990,31.200255"
乳山三村,1,"121.519766,31.233212"
天池洼村,1,
市一路153弄,1,"121.349275,31.414250"
永清路335弄,1,"121.496820,31.389248"
樊宝路35弄,1,"121.297222,31.335107"
镇万隆村,1,"121.804753,30.960188"
铁锋路2000弄,1,"121.454644,31.396548"
牡丹江路1378弄,1,"121.485598,31.396743"
吉祥路38弄,1,"121.488838,31.265450"
永清路,1,"121.494408,31.395724"
镇光荣村,1,"121.681618,31.411576"
上海市浦东新区浦电路305弄,1,"121.526059,31.218818"
友谊路街道双城路二弄,1,"121.505986,31.394626"
上海寿阳路99弄,1,"121.458570,31.295773"
闸北区灵石路739弄,1,"121.436265,31.286677"
虹口区凉城街道场中路685弄,4,"121.471953,31.309454"
年吉路358弄,1,"121.346314,31.399491"
月浦春雷路413弄,1,"121.432601,31.411952"
国权北路,4,"121.499570,31.335970"
罗店镇美丹路689弄,1,"121.349264,31.400628"
锦乐路300弄,1,"121.414869,31.407394"
抚远路远洋博悦花园699弄,4,"121.367098,31.397693"
月浦镇顾泾河路30弄,2,"121.402196,31.453397"
共悦路218弄,1,"121.413824,31.406752"
蕰川路5575弄,1,"121.429184,31.379899"
镇惠军村,1,"121.688616,31.609433"
西泰林路480弄,1,"121.534591,31.147926"
普陀区真如街道曹杨路2168弄,1,"121.406050,31.258415"
沪太路6058弄,2,"121.364149,31.373390"
纪念路289弄,2,"121.489247,31.298572"
水库村,1,"121.396490,30.824448"
美平路745弄,2,"121.338273,31.387327"
程家村,1,"121.869214,30.938180"
杨行北宗村北宗路99弄,1,"121.187922,31.027008"
江湾城路,1,"121.516861,31.330199"
上海市浦东新区三林镇板泉路2000弄,1,"121.530012,31.166142"
县新国村,2,"121.300503,31.836107"
